id,lat,lon,street,city,state
362121,33.832831,-117.889161,676 S State College Blvd,Anaheim,CA
159218,38.886803,-77.020118,600 Maryland Avenue  SW,Washington,DC
359934,33.451833,-111.735591,4401 E MCKELLIPS RD STE 104,MESA,AZ
150321,33.57823,-96.192368,105 Highway 121,Trenton,TX
157154,39.827278,-105.029739,3300 W. 72nd Ave,Westminster,CO
160402,48.732427,-122.470093,222 36th Street,Bellingham,WA
374643,39.938889,-75.025133,2000 Route 38 Ste 1180,Cherry Hill,NJ
391957,45.561962,-94.147168,1001 Fourth Street SE,St. Cloud,MN
162583,26.54188,-81.774949,1600 Chamberlain Pkwy.,Fort Myers,FL
121834,37.927646,-86.755249,730 Us Highway 66 E,Tell City,IN
129088,30.069031,-95.217051,2165 Northpark Dr,Kingwood,TX
154797,32.757123,-97.332828,100 E. WEATHERFORD,FORT WORTH,TX
154924,35.93272,-86.862279,230 Franklin Rd,Franklin,TN
167402,29.903295,-95.5532,9125 West Sam Houston Pkwy,Houston,TX
145280,33.990179,-118.447532,4010 Lincoln Blvd.,MARINA DEL REY,CA
104652,42.159547,-72.328983,1047 Thorndike Street,Palmer,MA
351072,42.220903,-85.589457,6650 S Westnedge Ave,Portage,MI
151653,44.177287,-93.967435,1291 Raintree Rd,Mankato,MN
163778,38.749869,-77.571673,12821 Braemar Village Plaza,Bristow,VA
150852,44.890038,-97.089313,1601 9TH Ave SOUTHEAST,WATERTOWN,SD
357945,29.048125,-95.460057,125 HWY 332 W STE C,LAKE JACKSON,TX
342158,43.851002,-89.129449,511 Main Street,Princeton,WI
342724,41.610515,-87.063579,244 Melton Road,Chesterton,IN
343489,48.301487,-116.546433,476600 Highway 95 North,Sandpoint,ID
116392,26.28714,-80.267076,10542 Wiles Road,Coral Springs,FL
352881,47.493692,-94.904109,1710 Paul Bunyan Dr Nw,Bemidji,MN
130742,40.034882,-105.258456,3325 28th St  Unit 4,Boulder,CO
349395,39.288703,-84.305518,9146 Union Cemetery Rd,Cincinnati,OH
345724,40.784826,-74.050122,1055 Paterson Plank Rd,Secaucus,NJ
128881,29.990373,-95.493832,4165 Fm1960 W,Houston,TX
110311,40.863243,-75.814639,200 W. CATAWISSA STREET,NESQUEHONING,PA
349886,41.688503,-86.057984,30801 Old Us 20,Elkhart,IN
374582,45.010408,-122.925717,Village East Shopping Center,Salem,OR
123609,44.511243,-88.330265,222 S Main St,Seymour,WI
347828,34.965574,-89.854389,7740 Craft Goodman Rd,Olive Branch,MS
115904,30.603706,-87.132207,4600 HIGHWAY 90 E,PACE,FL
160624,43.240275,-123.362151,3013 NW Stewart Pkwy,Roseburg,OR
113453,35.078255,-78.955392,521 North McPherson Church Road,Fayetteville,North Carolina
158758,33.370744,-98.750306,106 N Hwy 79,Olney,TX
138372,21.277569,-157.827215,2335 KALAKAUA AVE,HONOLULU,HI
129815,29.589512,-98.619615,15900 La Cantera Parkway,San Antonio,TX
172005,41.306568,-72.929283,Yale Rd & Chem Ave,Chilliwack,BC
163444,46.591079,-112.018306,1300 Prospect Ave.,Helena,MT
119058,30.515413,-89.663284,231 Frontage Rd,Picayune,MS
145920,32.757267,-117.083473,5202 EL CAJON BLVD,SAN DIEGO,CA
105534,43.853602,-70.104434,ONE FREEPORT VILLAGE STATION SPACE 303S,FREEPORT,ME
126794,32.517584,-92.106683,1801 Louisville Avenue,Monroe,LA
341957,35.530896,-90.427376,115 Hwy 63 West,Marked Tree,AR
137639,38.137918,-121.274891,205 W. LOCKFORD,LODI,CA
343581,46.266568,-100.235521,101 St Paul Box 400,Linton,ND
374040,42.28438,-89.009712,199 Deane Drive,Rockford,IL
472907,42.497337,-83.284865,28512 TELEGRAPH ROAD,SOUTHFIELD,MI
372487,37.119155,-81.213195,1170 US Route 22 East  Suite #101,Bridgewater,NJ
162143,33.668745,-112.20291,20205 N 67th Ave,Glendale,AZ
128713,29.689987,-95.417673,8767 S Main,Houston,TX
123244,43.422874,-95.124148,2200 17Th St.,Spirit Lake,IA
143411,34.106689,-117.418228,17710 FOOTHILL BLVD,FONTANA,CA
140663,40.877573,-73.867051,697 East Gunhill Road,Bronx,NY
150102,33.471249,-79.105354,13021 Ocean Highway,Pawleys Island,SC
149012,35.730222,-85.463828,13972 STATE ROUTE 111,SPENCER,TN
111078,38.933546,-77.085849,3301 New Mexico Avenue NW,Washington,DC
111868,38.031414,-78.445448,1448 Richmond Road,Charlottesville,Virginia
345119,39.941108,-74.960216,1200 Nixon Dr,Mount Laurel,NJ
149474,45.461851,-98.489511,321 S. FIRST,ABERDEEN,SD
393414,28.546741,-81.646035,17503 W Colonial Dr,Oakland,
356153,35.827763,-90.668684,1320 Stadium Blvd,Jonesboro,AR
126991,34.768484,-92.335919,1818 N TAYLOR ST,LITTLE ROCK,AR
106965,39.919597,-74.160215,333 Atlantic City Blvd.,Bayville,NJ
166639,30.370157,-91.07327,8729 Siegen Lane,Baton Rouge,LA
362233,34.219644,-119.158412,1941 N Rose Ave,Oxnard,CA
341733,33.218246,-98.160314,205 West Belknap Street,Jacksboro,TX
342474,39.87886,-88.956579,455 East Pershing Road,Decatur,IL
125880,38.924302,-95.259641,3300 Iowa St,Lawrence,KS
141794,39.275675,-76.569263,1501 S. CLINTON St,BALTIMORE,MD
108592,42.75172,-73.766341,579 Troy/Schenectady Road,Latham,NY
115808,30.402389,-87.342472,38 S BLUE ANGEL PKWY,PENSACOLA,FL
343223,33.99486,-114.216879,920 Arizona Ave,Parker,AZ
355827,30.653603,-91.193288,20377 OLD SCENIC HWY STE 203,ZACHARY,LA
150842,41.233802,-96.141477,14545 W. CENTER Rd,OMAHA,NE
106161,40.743251,-74.15517,432 Bergen Street,Harrison,NJ
124034,48.587849,-93.439063,1905 Valley Pine Circle,International Falls,MN
113819,33.925164,-80.34427,225 Washington Street,Sumter,SC
166449,42.485859,-71.212482,84 Burlington Mall Road,Burlington,MA
112258,37.223661,-79.968444,4210 Franklin Rd Sw,Roanoke,VA
393104,35.861307,-80.072529,1115 Randolph Street,Thomasville,
473801,48.077834,-123.132841,1235 W. WASHINGTON STREET,SEQUIM,WA
110956,39.676564,-75.649933,147 CHRISTIANA MALL,NEWARK,DE
140515,32.340028,-90.068754,240 Ridge Way,Flowood,MS
144883,43.231133,-77.625972,3345 Lake Ave,ROCHESTER,NY
344684,38.781344,-89.951362,2500 Troy Road,Edwardsville,IL
111529,38.982787,-76.534336,2027 West Street,Annapolis,MD
358469,30.649417,-97.676742,918 N Austin Ave,Georgetown,TX
346875,34.497293,-87.722052,14001 HWY 43 STE 7,RUSSELLVILLE,AL
110602,40.048052,-75.412451,821 Lancaster Ave,Wayne,PA
374649,40.611682,-74.159544,1497 Richmond Avenue,Staten Island,NY
108882,42.954215,-76.92165,655 Route 318,Waterloo,NY
162335,47.907822,-122.293125,10100 Mukilteo Speedway,Mukilteo,WA
141132,38.785945,-90.416002,5555 St. Louis Mills Blvd.,Hazelwood,MO
132869,35.148451,-106.586331,6300 San Mateo Blvd,Albuquerque,NM
1121662,39.146618,-84.429283,3806 Paxton Avenue,Cincinnati,OH
396252,38.926182,-95.260557,3201 S Iowa St,Lawrence,KS
1009286,37.30604,-120.50505,1400 Auto Center Drive,Merced,CA
120144,40.014094,-80.74454,3191 Guernsey St,Bellaire,OH
114211,34.177153,-82.023881,204 N Cambridge P.O. Box 356,Ninety-Six,SC
396873,40.679893,-80.31142,87 Wagner Rd,Monaca,PA
165532,39.953219,-75.170144,1801 Market St.,Philadelphia,PA
129377,29.678516,-95.123184,3605 Center St,Deer Park,TX
396718,35.348794,-80.85743,9841 Northlake Centre Pkwy,Charlotte,NC
175236,33.74525,-118.011324,200 Westminster Mall,Westminster,CA
357180,32.167152,-97.135453,1201 E. Main St.,Itasca,TX
373538,34.010063,-84.572271,851 Cobb Place Blvd,Kennesaw,GA
128544,32.401684,-98.793791,1410 E Main St,Eastland,TX
131277,43.617751,-116.391573,1600 North Main Street,Meridian,ID
364251,45.719437,-121.475136,1000 W STEUBEN,BINGEN,WA
121696,38.328164,-85.760832,1250 Veterans Parkway,Clarksville,IN
374948,30.303212,-89.825775,116 Northshore Blvd,Slidell,LA
348058,30.41625,-88.818135,1521 Bienville Blvd,Ocean Springs,MS
374168,32.647677,-96.859082,2503 W. Wheatland Rd.,Dallas,TX
132558,33.711146,-112.273746,10072 W. Happy Valley Parkway,Peoria,AZ
128249,32.529327,-97.339811,951 Sw Wilshire Blvd,Burleson,TX
375479,41.294963,-73.903123,1831 East Main Street,Peekskill,NY
146315,40.033678,-75.215421,6101 Ridge Ave,PHILADELPHIA,PA
